title,body,rating
Very good product in budget,Well i have use this camera more then 4000 kilometers actually video and sound quality is very impressive in this budget big thumbs-up for sjcan,4.0 out of 5 stars
Awsm,Great piece,5.0 out of 5 stars
Worth the Money,"The only problem I saw was the image quality. The image wasn't good at all. However, the video was amazing. The battery life is a bit low. Overall it was totally worth spending 5k on it.",4.0 out of 5 stars
Battery is worst.,"Everything is good except the battery, within 5 months of use, Battery got expanded, risk of getting blasted.so have to remove. Don't know the warranty  of battery,",5.0 out of 5 stars
dont buy guys..,"not good, pic quality is ok, but.. don't buy it..",2.0 out of 5 stars
Worst product no audio quality,Worst product no Audio quality,1.0 out of 5 stars
"Orginal Sj4000 wifi model, but no 4k or 1080p 60fps","Product is good, video and image quality is very good in this price segment. But it wont support 4k or 1080p 60fps. And Wifi model is the orginal one. Sj4000 air is fake",4.0 out of 5 stars
One Star,Charger cable is missing. There is scratch on screen and the packed was broken.,1.0 out of 5 stars
Best for beginners,"Good for Beginners. I am a Blogger.YouTube Channel ""Ankur The Rider""",3.0 out of 5 stars
Poor battery backup,Good quality product..... camera clarity is good..... unfortunately battery backup is poor... but overall good.....,4.0 out of 5 stars
good but need to audio jack,this is best for beginners but one issue is important that it have no audio jack option,3.0 out of 5 stars
Excellent product,Awesome product recomended,5.0 out of 5 stars
Value for money,Value for money,5.0 out of 5 stars
This Camera Looks Good And Also Very handy to Use And Price Is ...,I don't know much about Action Camera.This Camera Looks Good And Also Very handy to Use And Price Is Low to AnotherPicture Quality Is Ok ok U can't Expect Much,3.0 out of 5 stars
Wifi doesn’t work on iPhone 6a,Wifi not working,1.0 out of 5 stars
Value for money,Dislike no external mic support,5.0 out of 5 stars
Please replace this product.,The micro SD card does not sit in the slot.A lot of people have had the same problem.,1.0 out of 5 stars
Amazing camera. Works perfectly.,I bought this camera for my Maldives trip and filmed underwater videos. The waterproof case is great and there was no leakage at all. Got great videos underwater. Pics are not that great but then again you don't buy this camera for pictures. Wifi works seamlessly with your phone. Received a bunch of attachments for fixing the camera on your helmet or bike etc. Battery life is also great. Charging is also quick. Overall a good camera and,5.0 out of 5 stars
Good quality,Good quality,5.0 out of 5 stars
Works well,Works well but not a go pro.,4.0 out of 5 stars
Great picture quality,Great picture quality in this price range.Not good for low light  pictures and battery life not up to the mark,5.0 out of 5 stars
Really good one. Go for it....,I have bought this cam today and it met my expectation. I have done lot of review before I bought this. Go for it. Seller sends this with perfect packing,5.0 out of 5 stars
Just for new motorvloger,Best for new YouTuber check video quality on my YouTube channel > punjabiker Balraj,5.0 out of 5 stars
Super Action camera,5 star Bhi km he ..isey 8 Star Dunga .best Camera He Bhaisaab.Yeh Sony cyber shot Ki traah work krta He.Baki jise Camera Ki Quality Dekhni he Mere YouTube Channel pe Dekhlo DJM AJAY,5.0 out of 5 stars
Nice,Nice product,4.0 out of 5 stars
SJ camera review,Picture quality is not good.Body of the camera Seems to be very delicate and not durable,1.0 out of 5 stars
"Good, Charge issue",Ok with this product but problem is charge issue.,4.0 out of 5 stars
Very bad quality,Very bad quality of the product,1.0 out of 5 stars
Value for money very good for beginners in vlogging,Value for money very good for beginners in vlogging,5.0 out of 5 stars
Not bad,Not bad if we look at the price ! .. it's not as awesome as go pro but the price differs too. Yes I am happy  .  Only problem is the battery back up.. so if u r recording and vlogger I suggest u get extra battery...,4.0 out of 5 stars
Works great as dashcam,I am using it as dash cam.. works perfectly,5.0 out of 5 stars
Waste of time and money,Waste of money. Better to safe and buy quality,1.0 out of 5 stars
Best for motovlogs,There is no options for mic bt quality was best good fire motovlog,5.0 out of 5 stars
Camera and stability,Not so good.. product review doesn't match from the advertisement.. I am really disappointed..,2.0 out of 5 stars
Good for low budget,Best under water camera,5.0 out of 5 stars
Worth it for the mony paid.,From the price point of view it is the best.,5.0 out of 5 stars
Best in price,It is entery level action cam everything is okay but you have to buy spare batteries for this,5.0 out of 5 stars
Overall camera is good deal in budget,Overall satisfied with product as i majorly used it as car dash cam....,5.0 out of 5 stars
bad,very bad battery and performance,1.0 out of 5 stars
Four Stars,Excellent in daylight.batterry life good lasted 8 hours at a stretch durind my last ride,4.0 out of 5 stars
Not happy with the product,Not happy with the product. Image quality not great.,1.0 out of 5 stars
Best and nice product in the price range,The product come with a good equipment and better video quality but no stabilization.but it is the best camera ata range of the camera comparing to other camera,5.0 out of 5 stars
Fatafati,Excellent product.,5.0 out of 5 stars
Good product,Picture quality is fine.,4.0 out of 5 stars
vry nice product go for it..,vry nice product go for it..,5.0 out of 5 stars
Not recording video and phots,This product is not good dont buy this Worest product,1.0 out of 5 stars
Worth the price,I am using it as a dash cam as well.. Serves the purpose of both,4.0 out of 5 stars
not bad at this price,not bad.. battery runs out too fast,3.0 out of 5 stars
Audio quality bad,Image stabilization is good but audio quality sucks,3.0 out of 5 stars
Cool camera,"Good quality,photos n videos r awesome... But battery life is so sort.. you need to carry extra battery",5.0 out of 5 stars
Quality,Good for beginners but dont look for hd photos or videos.. Just normal quality of video,4.0 out of 5 stars
Nice,Nice product,4.0 out of 5 stars
Good,good quality image. battery life not good. still worth for money all kind acc received,5.0 out of 5 stars
Love this product,Like the camera quality,5.0 out of 5 stars
"won't get good pictures, just can get avg","Just ok, won't get good pictures , just can get avg. Underwater pics",3.0 out of 5 stars
Five Stars,"Amazing Videos even in heavy rain. Completely water-proof. Speaker to be improved , meagre sound.",5.0 out of 5 stars
Best in the price range,Value for money,5.0 out of 5 stars
Not bad,I just received it's 2k record version.....,3.0 out of 5 stars
Very good budget action camera,"Good product, for beginners its a masterpiece.",5.0 out of 5 stars
Everything you get in a gopro at 1/5th the cost except image stabilization and telemetry,Best value for money ever !!!,5.0 out of 5 stars
Over the top,Excellent,5.0 out of 5 stars
It's a very good action camera in proper lighting it works absolutely perfect ...,It's a very good action camera in proper lighting it works absolutely perfect bt in low light it disappoints me and even underwater it's performance is very nice,5.0 out of 5 stars
Good quality,Great product and great packaging,5.0 out of 5 stars
Excellent,Excellent picture,5.0 out of 5 stars
"great camera, very good quality camera","worth for money, great camera, very good quality camera",5.0 out of 5 stars
Not to buy,Not good I think it's not what you think,1.0 out of 5 stars
Great product,Its good product. It include all the accessories.. good video quality... worth to buy this cam..,5.0 out of 5 stars
Nice product,Too good must buy. Also seller is good they call and ask every thing like sir did you get your delivery. Good seller,5.0 out of 5 stars
Worth of price,Good budget cam.good video quality...If your budget is within 6k then go for it....,4.0 out of 5 stars
Worth the price.,Really great for under water and sports recording. Video quality is good.,5.0 out of 5 stars
Stickers,Want your sjcam stickers for free,5.0 out of 5 stars
Five Stars,"good product, clarity of video photos are really good. totally value for money product",5.0 out of 5 stars
Amazing,Amazing product in this range.,5.0 out of 5 stars
Awesome,Camera is absolutely fantastic product and worth buying it,5.0 out of 5 stars
Nic camera,I very happy pictures quality,5.0 out of 5 stars
Sjcam 4000 wifi,Reasonable price for quality and functioning.,4.0 out of 5 stars
Awwsommm product,Excellent product for this price range.... Sj cam 4000 wifi... Mounted on my helmet... The video recording is awsomm... Not shaking... Stable... Charging can be done  by a powerbank,5.0 out of 5 stars
Nice products,Real camera photo & nice video,5.0 out of 5 stars
Helpful,No.1 action camera in this Price,5.0 out of 5 stars
Worst ever,I wasted 5999 on buying this,1.0 out of 5 stars
worth it,too good at this price range video quality is good and operating it is easy,5.0 out of 5 stars
Wonderful product,Hi this camera is very good,5.0 out of 5 stars
Good one for the price tag,It’s good for the price,4.0 out of 5 stars
Five Stars,Quality of the video is superb..,5.0 out of 5 stars
Good action camera for hobby use,This cam is really worth the price. Good action camera for hobby use.,5.0 out of 5 stars
Bad camera quality,Not so good,1.0 out of 5 stars
Good for beginners,Good for beginners,4.0 out of 5 stars
The results are awesome. I used for scuba diving and it was ...,you can trust this product. The results are awesome. I used for scuba diving and it was a good experience.,5.0 out of 5 stars
Picture quality,Picture quality is good but battery life is not good at all,4.0 out of 5 stars
Amazing quality,Very good quality and fast delivery... Currently using it as front dashcam..got it in 5700..,5.0 out of 5 stars
EXCELLENT CAMERA FOR BIKERS..,BEST CAMERA IN THIS PRICE RENGE...,5.0 out of 5 stars
Use it to know it.,Very useful for the beginners,5.0 out of 5 stars
Look like a original prodect but charging and USB port are one but sjcam two slots,According to sjcam 2 USB and charging but cam only 1 slot,3.0 out of 5 stars
Decent Quality Product,"nice product at this price range , if the video quality would have been little better i would have been much happier",4.0 out of 5 stars
You can buy it,This camera is very useful for rides and battery life okay,5.0 out of 5 stars
Not spotted 128gb card,It's not spotting 128gb card.,1.0 out of 5 stars
good one,good one,4.0 out of 5 stars
Good,Na,5.0 out of 5 stars
44842,good for beginners,5.0 out of 5 stars
Beat camera,Best camera for begning quality is good. Love it,5.0 out of 5 stars
Five Stars,"It’s amazing to video capture, good clarity.... good product in this price range",5.0 out of 5 stars
"Good product, Value for money","Overall the product is good, value for money.",4.0 out of 5 stars
Budget friendly action/dash camera,Nice product with all the budget friendly features n accessories,4.0 out of 5 stars
best itom,amazing video quality and stability,5.0 out of 5 stars
Five Stars,At this price it is a good value for money.,5.0 out of 5 stars
GoPro at low cost.,"The media could not be loaded.
                




   Value for money. GoPro @my budget.",4.0 out of 5 stars
Very good,Value for money,5.0 out of 5 stars
Value for money,Ok foR beginnersI made nice videos for snorkeling,4.0 out of 5 stars
good,this is good for beginners..image quality is good but mic isnt innate,4.0 out of 5 stars
helpful,mic quality very bad,4.0 out of 5 stars
Its simply  best,Affordable  price  and good picture  quality,4.0 out of 5 stars
Awesome,Excellent...,5.0 out of 5 stars
Awsm,Awsm product guys,5.0 out of 5 stars
Cool cam,Compact strudy wide angle recording and use as dash Cam also,5.0 out of 5 stars
GOOD AND CLEAR VIDEO,"The media could not be loaded.
                




   VERY EASY TO INSTALL AND USE AND TO CHECK THE VIDEO",4.0 out of 5 stars
Five Stars,Nise quality,5.0 out of 5 stars
Five Stars,nice product,5.0 out of 5 stars
Four Stars,Good and nice product on this price range.,4.0 out of 5 stars
Very good cam video quality excellent but one mount missing packing ...,Very good cam  video quality excellent  but  one mount missing  packing  photo quality  poor,4.0 out of 5 stars
Good.,Camera is good! Price is bit higher.,4.0 out of 5 stars
Five Stars,Great product nice night and morning quality,5.0 out of 5 stars
Best Quality,Quality Is Nice. But You Should Provide Lens Cap.,5.0 out of 5 stars
Five Stars,satisfied with the product...original one...best price...,5.0 out of 5 stars
Very poor,Return my money .waste camera,1.0 out of 5 stars
Video Quality,Video Quality is Good But Photo bad,5.0 out of 5 stars
Nice one,It's awesome product,5.0 out of 5 stars
Battery not including this camera how open camera,Not give a battery in camera,1.0 out of 5 stars
Worth every penny !!,Good for its price. Battery life is not tht great!,4.0 out of 5 stars
Go ahead,Good product,5.0 out of 5 stars
Four Stars,Good one,4.0 out of 5 stars
Good product,Good product at affordable rate.,5.0 out of 5 stars
Awesome!!!!,Overall a good product. Value for money.,5.0 out of 5 stars
Best Action Camera For Underwater Shoot,"Awesome, Fabulous, Mind Blowing ProductThanks 2 Team Amazon",5.0 out of 5 stars
Not good,Ok,3.0 out of 5 stars
Please refund the money,I want to refund my money.,1.0 out of 5 stars
very good.,For this price point..very good.,4.0 out of 5 stars
Four Stars,Very good for beginners,4.0 out of 5 stars
Great product,Good only at full HD quality,5.0 out of 5 stars
Nice cam also for motovlogging.,Best cam. Wifi little bit lagg when in waterproof case. But awesome Clarity.,4.0 out of 5 stars
Great action camera in its range,"Good camera under its budget, Nice performance and quality",4.0 out of 5 stars
Five Stars,Good product given the price ...,5.0 out of 5 stars
Very good product,Nyc,4.0 out of 5 stars
Excellent,Lovely,5.0 out of 5 stars
Great action cam for beginners,Great action cam for beginners,4.0 out of 5 stars
Handy for beginners,Good for price.,4.0 out of 5 stars
Four Stars,"Does everything except fast recording, 60 FPS and above.",4.0 out of 5 stars
Five Stars,Very nice,5.0 out of 5 stars
Five Stars,In this range its a good action camera,5.0 out of 5 stars
good product,value to the money,4.0 out of 5 stars
Awesome work,Too gud,5.0 out of 5 stars
Best action camera under 5000rs.,Best quality videos.,5.0 out of 5 stars
But Good enough at this price 👌🏼,Picture quality is little bit low !! But Good enough at this price 👌🏼,4.0 out of 5 stars
Nice product,Nice product,4.0 out of 5 stars
Five Stars,"Awesome... , N original. Product",5.0 out of 5 stars
satisfied [...],very nyc packagegot it as expected... satisfied[...],4.0 out of 5 stars
Awsome product,Nice cam good as expected great cam nice clarity,5.0 out of 5 stars
Best for beginners,Great,4.0 out of 5 stars
Five Stars,awsm product,5.0 out of 5 stars
Best in its range,Nice cam. Value for money,5.0 out of 5 stars
Five Stars,Awsome!!!!!!!!!!!,5.0 out of 5 stars
Four Stars,There is no fast shooting mode other wise  is better camera,4.0 out of 5 stars
Amazing product,amazing product.worth the price,5.0 out of 5 stars
Superb,Superb,5.0 out of 5 stars
Just wow,It's awesome,5.0 out of 5 stars
Excellent delivery,Product is good,5.0 out of 5 stars
Five Stars,just go for it !!!,5.0 out of 5 stars
Five Stars,Good product,5.0 out of 5 stars
Five Stars,One of the best camera I've used till now.,5.0 out of 5 stars
Five Stars,Perfect🖒,5.0 out of 5 stars
Osama,Osama,4.0 out of 5 stars
Five Stars,Super,5.0 out of 5 stars
Four Stars,Good product.,4.0 out of 5 stars
good working.,Nyc action cam...below Rs 8000 i got that original sjcam4000 wifi ....good working..,5.0 out of 5 stars
GoPro can not beat it for the video quality for its price,"After gopro this is the best cam in the market, but GoPro can not beat it for the video quality for its price, better than GoPro hero 3 white and pretty much comparable to GoPro hero 3 silver. best thing is there are plenty of forums and threads where you can get plenty of support and new firmwares are available from manufactrurer's site (SJCAM.Com). Nice buy for 1/4 of the price of GoPro",5.0 out of 5 stars
After few using it for couple of time there is ...,After few using it for couple of time there is a black spot on images which are produced. and dont know after service. it was mentioned 1 year warranty but to get it fixed,2.0 out of 5 stars
Three Stars,Gifted to others. No comments.,3.0 out of 5 stars
Two Stars,This camera work perfectly is good for beginner that have not to do awesome video,2.0 out of 5 stars
Doesn't seem to be original,"After the upgradation of the firmware, the recording isn't picking the actual colour, but has green and blue tint. The vendor is also not supporting for the firmware upgrade.",1.0 out of 5 stars
but audio quality not soo good. you can check my youtube channel,Video quality is ok in this range. but audio quality not soo good . you can check my youtube channel : Tripper Harshit,4.0 out of 5 stars
Absolute VFM,"Works better than my GoPro Hero, which is only my backup action camera. Absolute VFM product!",5.0 out of 5 stars
Five Stars,മച്ചാനെ കിടിലൻ ക്യാമറ😊 just awesome camera 😊 i am sharing some photos with sj4000 wifi below,5.0 out of 5 stars
No proper PACKAGING AND MISSING PRODUCTS,The camera is good. But the velcro is not even provided and the packaging was horrible. Thumbs down MOBILEGEAR!,1.0 out of 5 stars
Nice product and the seller too,Nice action cam in this budget.. seller shipped it fast as well,5.0 out of 5 stars
Awsome,"Awesome product,In 6.5k i got it",4.0 out of 5 stars
Four Stars,Amazing vedio and images.....arrived safe package ....thank you,4.0 out of 5 stars
Best Action camera for Beginners,"SJ4000 is my first action camera that I have ever bought,since it's my first action cam I didn't want to put too much money on to it & the SJ4000 was perfect for this.The video quality is really good & doesn't feel cheap at all,you can shoot videos at 1080p or 720p depending on you liking.I use this camera for my Motovlogging & it has performed flawlessly, I'm quiet impressed by this action camera & the over all Value for Money is the best.All the accessories are given in the box itself you don't have to purchase an extras separately.I have been using this camera for a month now & I'm quiet satisfied with the product.Anyone who wants to buy their first action can should surely get the SJ4000.A great Action cam that doesn't burn a hole in your pocket!Amazon is selling 100% genuine SJ4000 & you can buy confidential without any regrets.Overall I'm very satisfied with this Action cam & will recommend this to anyone whose looking for their first Action cam at an affordable price.Checkout my YouTube channel- 'Super Biker' for all videos shot with the SJ4000 Action Cam",5.0 out of 5 stars
Not.happy,No...USB cable in box...I will update the review ...just received the cam,1.0 out of 5 stars
One Star,fake,1.0 out of 5 stars
nice one..go for it.,Great product if you want to record soccer games that this product is best you should go for it.,5.0 out of 5 stars
Worst camera ever,Worst camera ever.. I have returned after watching the user review,1.0 out of 5 stars
Four Stars,Very nice.. product,4.0 out of 5 stars
Three Stars,Nice camera fabulous work,3.0 out of 5 stars
"Cam s good, but it's not supporting Lexar 128gb m","Cam s good , but it's not supporting Lexar 128gb m.card.",4.0 out of 5 stars
nice,Just say WOW. most recommencement product to buy for travel lover.,5.0 out of 5 stars
Three Stars,Clearty good but battery not good,3.0 out of 5 stars
Four Stars,Good 👌,4.0 out of 5 stars
They are shipping duplicate product inside original box,Thanks now I got what I wanted after replacement,5.0 out of 5 stars
Five Stars,Top class,5.0 out of 5 stars
Four Stars,Video quality achha hai# i,4.0 out of 5 stars
Awesome in Daylight and ok in night,Just Wow...Go for it..Awesome in Daylight and ok in night.,5.0 out of 5 stars
One Star,hanging,1.0 out of 5 stars
Awesome product in awesome price,Really happy with the product ....wifi option is super amazing ....and a big thanks to amazon for  such a speedy delivery .....one more thing for fellow customers .....product description says no battery ....but package comes with battery . No need to buy spare battery .battery was included,5.0 out of 5 stars
Five Stars,Worth the money,5.0 out of 5 stars
Genuine SJCam4000 WiFi with good quality video and Picture,"The media could not be loaded.
                




   Genuine SJCam4000 WiFi with good quality video and Picture.This is my first action camera, I do not know anything but I am surprised to see its photos and videos. Awesome action camera in this price range, i am checked on SJCAM official site to verify the genuinity.",5.0 out of 5 stars
"Good product, a user manual for installation would be nice.",Bought it as a friend's wedding gift. So far he has used it for 1 bike ride. Video quality is great. Setting it up is more complicated than my garmin virb. It has lots of parts. Did not come with a detailed manual on how to use those parts. Had to rely on youtube videos for the same.,4.0 out of 5 stars
Really great offering...bang for the buck !!,"Good value for money offering. Just now completed a 1100km drive with SJCAM set as a dashcam. With a 32GB memory card you can easily get last 10 hours of the drive (720p, 30fps, without sound). Nowadays started to use this for drives within the city also... Waiting for a chance to mount this on my helmet and explore possibilities. . . . .",5.0 out of 5 stars
Waste/ worst product I have ever received till date from Amazon.,"Worst product, received damaged product, not working properly display turns white automatically starts and stops recording of the camera. My long distance ride cancel due to the measure fault of your product. Product and accessories are not proper as mentioned in box. Fully dissatisfied, please beware before purchasing this product from this seller.",1.0 out of 5 stars
Universe in a single package,"The battery life is good. The quality is good too. There are alot of extra addons with the  camera like holders and mounts which even a gopro doesnt provide with the camera pack. The quality of the extraa couldve been better too. Overall, the camera is well functioning with even night shots being clearly visible. There is no port for an external mic and vloggers wont find it positive. But it does record decent sound and also is waterproof",5.0 out of 5 stars
"The product SJ4000 is good, Quality of video and pictures is awesome","Bhaiyo, The product SJ4000 is good, Quality of video and pictures is awesome, auto brightness working perfectly. Night view quality good. The main point is WiFi, it's working with android app, you can record video and take shots from your smartphone and also you can download (videos and pictures) from camera to mobile. But drop point is, you can't use external mic.But, in this price SJ4000 is best option in action cams.",4.0 out of 5 stars
Fabulous Video !!!,"Video quality was good, but the photo quality was not good, video lapse was a awesome feature, overall very satisfied with the product since I never use it to take photos.",4.0 out of 5 stars
Ok ok type of camera,I bought this on 3 may abd it was delivered on 10 may [expected much earlier].Good camera.Great build qualityNice packingGoof feelBut the image quality was good but disappointing and not yet tested in dark so cannot tell low light performanceIf u want a beginners camera go for itBut if more proffessional try something else...,3.0 out of 5 stars
Best budget action cam - but beware of fake ones,If you do have the budget to but gopro. .. thus one will suit most of your requirements at a budget... in fact gopro cannot even come close to the value sjcam offers with the accessories provided along.The seller shipped a genuine product which was verified in the site as well as some ques from YouTube vides.,5.0 out of 5 stars
Best budget action cam,Got the original sj4000 wifi. Best budget action cam!,5.0 out of 5 stars
Missing Accessories,"Got missing accessories, Don't misguide the customer, Charger and wires are missing.",1.0 out of 5 stars
Best Action Cam in this Price,Got my SJ Cam in just 3 days thanks to Amazon for fast DeliveryVideo Quality of cam is Great both in day light and Night,5.0 out of 5 stars
IF this is your first action Camera than go for it,I am using this camera since a week and i came to a conclusion that if this is your first action camera that dont look for any other alternative becoz this is the best in the budget of 6-7k and see to it you buy from a reputed seller such as Brainfreezer or Sjcam dont go for 100-200 buys less seller becoz they may be thirdparty seller.i was very confused between PROCUS RUSH and SJCAM SJ400 but Acoording to me go with Sj4000 it has got many extra and better Features.,5.0 out of 5 stars
Cheap Camera but having problems.,"I bought sjcam4000 only about one month back. After the initial charging from the supplier, the battery is not charging now. I do not know whether the problem is with the battery or the camera. No problem with the charger.",1.0 out of 5 stars
Superb camera,Superb product I used it many times and it works very well I am now using it with my Drone and it flies very well and it captures very good and moreover it comes with a lot of accessories hurry and we can use it in almost anything and the camera is amazing I also tried it inside water after putting it in waterproof case and it works amazing,5.0 out of 5 stars
Good quality product but late delivery via amazon,"https://www.youtube.com/watch?v=frfNbPQS-7YI bought it in Rs.7499 http://amzn.to/2iNkk92First time users it's worth it, if you are going for an action camera you will not be disappointed by its features and its power.Cons:1 to 1.5 hrs battery backup, will suggest you to buy more spare batteries http://amzn.to/2jeIGpd",4.0 out of 5 stars
Amazon Charging extra!!? Camera awsome.,Really good camera and replacement service considering the price we are paying. (₹6999~₹8500 Fluctuates)Yes we can purchase it @ $65 from gear bestand with import tax it cost around ₹5500. Amazon India charging extra but we are getting the EASY* replacement capabilities. Camera is great for moto vlogging and water sports and even for a dash cam. 1080p 30 fps. BUT NEVER UPGRADE UR FIRMWARE. it creates the wifi connection problem.,3.0 out of 5 stars
Best action can in this price range,Using this from past 5 months on my rides. Very nice quality videos. Perfectly waterproof as I have used in pool to take underwater shots. Only weak point is the mounts that come in the box. They can't withstand  too much stress.,5.0 out of 5 stars
Three Stars,Good product for those on tight budget!!!!!!!!!,3.0 out of 5 stars
Good action cam for the price range,Cam quality is good enough for this price range but not as good as a Sony handicam. Vast difference in the video clarity is evident when you compare a video shot under good light and one shot in twilight. The casing and the holders supplied with the cam are sturdy and quite good. Have not yet tested the water proof case. Audio recording is good enough.,3.0 out of 5 stars
"Its a good product, shoot good quality videos and images but ...","Its a good product, shoot good quality videos and images but the problem is with the battery.The battery backup is quite low and moreover the battery expanded on the first charge itself.",3.0 out of 5 stars
Excellent stuff,"Though its the base model, functions available are more than sufficient for a regular rider. Image quality and video quality are good. Built quality is excellent though the display resolution is not as expected. But worth the amount.",5.0 out of 5 stars
100% Value for money and good quality,"The camera is very good, I was first skeptical about placing this order since it was not fulfilled by Amazon, however the seller BrainFreezer was very prompt in his service and I can gladly say that I do not regret my decision for placing this order, coming to the camera, it is 100% as described, the video quality is crisp and clear, image quality is not that good, but gets the work done, also, my purpose of this purchase was mainly for videos and not for photos, hence the lack of quality in the images does not bother me much, on the other hand, the video quality is very good, 1 minute of 1080p footage weighs in around 240-250 mb of size, I'm using a 32GB micro SD card, due to this reason, the video quality is so good that it needs the support of a good memory card, Overall BEST performance for the price range. Couldn't have asked for more.",5.0 out of 5 stars
Affordable GO Pro!!,Awesome totally a must have if you are looking for decent and affordable soprts cam. Cam quality is good and stabilization is okay. Please look for original one as there are many fake from other sellers.,5.0 out of 5 stars
No batt,Didnt recieve a battery along with the cam.,2.0 out of 5 stars
Go for it,Nice product for this priceCan't compare go pro with itBut ok,5.0 out of 5 stars
The WIFI button was broken..,the original product delivered which was verified with the numbers from the box over the internet.. The daytime video quality is just awesome but the dark parts or the night time videos are a bit grainy..  The only reason have rated 1 start as 3 times used the cam and found the WIFI button is broken.. Had to spend 6 hours of time and 450/- extra to get it fixed..,1.0 out of 5 stars
Amazing quality. Received all mounts as mentioned and mounts ...,Amazing quality. Received all mounts as mentioned and mounts are also having good quality.Camera Video quality is awesome in this costSimply satisfied with this product.,5.0 out of 5 stars
Good for beginners...,"Good service till date, video quality was brilliant in 1020 mode.. Easily connected to  mobile.. Nice products.",5.0 out of 5 stars
5000rs mobile can capture batter then this,5000rs mobile  can capture batter then this,1.0 out of 5 stars
Best buy,"Good one, best buy",5.0 out of 5 stars
camera stucks at the bootscreen,Delivery was on time but there are few issues with the camera.It stucks at the boot screen and I have to wait overnight so that the camera behaves normal. Also the silver scratch was already tempered so chances are high somebody open the product before,2.0 out of 5 stars
This seemed to be a fake to me. I ...,"This seemed to be a fake to me. I checked the firmware version in camera, it said 1.4. But the official website of sjcam says that the latest firmware version that is available for this particular camera is 1.2 Also near the battery cover, there are holes to vent heat in original camera. The carema that I got did not have these vents.",1.0 out of 5 stars
Nice good camera for beginners,Nice  good camera for beginners,4.0 out of 5 stars
Five Stars,"Packed well , and includes full kit 👍🏻",5.0 out of 5 stars
For startup this is really a better choice to go.,"I wasnt really pessimist nor optimist on this product before I receive.Delivered as promised.Product is really good.  It does its job as it mentioned.For startup like me,  this camera is helping me more to use this kind of activities to get used to before we buy the expensive and upper version.Guys I recommend this camera for all the startup guys.Go for it.Thanks",5.0 out of 5 stars
lots off mount and items are missing inside the box ...,lots off mount and items are missing inside the box when i open the it and one of my friend also have same camera sj4000 wifi he got all the accesorries which are shown the box,1.0 out of 5 stars
Nowhere close to the Gopro!,this camera doesnt take audio recording with its cover on..thus all the videos you take while the waterproof case is on will be just mute unless you yell into the case of the speaker!,1.0 out of 5 stars
Bang for the buck,"For ₹5k and some change, this camera is the best option to start your vlogs.Amazing picture quality, good image stabilization and around 2-3hrs recording on a single charge.ProsCan start right out of the boxBattery backup is good, I got 2.5hr recording on a single charge with one bar still left2k recording availableMany accessories available (mounts etc)Dash cam mode available in camera (still need to test)ConsMic sucks big time...Invest in an external mic.Says ulti 128gb supported, however still need to test that.Menu options are very confusingOnly USB cable provided to charge, I am using my mobile charger to charge the camera",5.0 out of 5 stars
